id,slug,name,city,phone,license_number,website,address,platform_live,has_real_photo,missing_ages,missing_fees,missing_photo,age_min_months,age_max_months,infant_monthly,toddler_monthly,preschool_monthly,part_time_monthly,photo_url,source
mb-100141,acorn-family-place-playroom-100141,Acorn Family Place Playroom,Winnipeg,(204) 560-3151,MB-100141,,205-222 Furby Street,0,1,1,1,0,,,,,,,,
mb-1150,action-centre-day-nursery-inc-1150,Action Centre Day Nursery Inc.,Winnipeg,(204) 582-1903,MB-1150,,377  Dufferin Avenue,0,1,1,1,0,,,,,,,,
mb-101548,advantage-child-care-academy-inc-101548,Advantage Child Care Academy Inc.,Winnipeg,(204) 453-2222,MB-101548,,51  Scurfield Boulevard,0,1,1,1,0,,,,,,,,
mb-3001,agassiz-child-care-centre-inc-3001,Agassiz Child Care Centre Inc.,Winnipeg,(204) 269-3779,MB-3001,,131 Leach Street,0,1,1,1,0,,,,,,,,
mb-100902,aleph-bet-child-life-enrichment-forest-park-scho-100902,Aleph-Bet Child Life Enrichment Forest Park School Age Program Inc.,Winnipeg,(204) 586-1110,MB-100902,,130 Forest Park Drive,0,1,1,1,0,,,,,,,,
mb-1001,aleph-bet-child-life-enrichment-program-inc-1001,Aleph-Bet Child Life Enrichment Program Inc.,Winnipeg,(204) 586-1110,MB-1001,,1007  Sinclair Street,0,1,1,1,0,,,,,,,,
mb-100901,aleph-bet-child-life-enrichment-school-age-progr-100901,Aleph-Bet Child Life Enrichment School Age Program Inc. - Margaret Park,Winnipeg,(204) 586-1110,MB-100901,,385 Cork Avenue,0,1,1,1,0,,,,,,,,
mb-1252,ashworth-children-s-centre-incorporated-1252,Ashworth Children's Centre Incorporated,Winnipeg,(204) 254-8412,MB-1252,,164  Southglen Boulevard,0,1,1,1,0,,,,,,,,
mb-102700,avicenna-academy-102700,Avicenna Academy,Winnipeg,(431) 998-0554,MB-102700,,200 Dalhousie Drive,0,1,1,1,0,,,,,,,,
mb-101850,bambini-montessori-preschool-inc-101850,Bambini Montessori Preschool Inc.,Winnipeg,(204) 421-2046,MB-101850,,A-1086  St. Mary's Road,0,1,1,1,0,,,,,,,,
mb-3096,beaumont-day-care-inc-3096,Beaumont Day Care Inc.,Winnipeg,(204) 895-8758,MB-3096,,5880  Betsworth Avenue,0,1,1,1,0,,,,,,,,
mb-9265,beautiful-savior-lutheran-school-inc-birchdale-9265,Beautiful Savior Lutheran School Inc. (Birchdale),Winnipeg,(204) 984-9600,MB-9265,,52  Birchdale Avenue,0,1,1,1,0,,,,,,,,
mb-1242,behavioural-health-foundation-day-care-1242,Behavioural Health Foundation Day Care,Winnipeg,(204) 269-8613,MB-1242,,3514 Pembina Highway,0,1,1,1,0,,,,,,,,
mb-103141,behavioural-health-foundation-school-age-103141,Behavioural Health Foundation School Age,Winnipeg,(204) 269-8613,MB-103141,,35  De La Digue Ave,0,1,1,1,0,,,,,,,,
mb-100937,bh-beginnings-daycare-centre-100937,BH Beginnings DayCare Centre,Winnipeg,(204) 784-1600,MB-100937,,630 Westminster Street,0,1,1,1,0,,,,,,,,
mb-103006,bridgwater-montessori-103006,Bridgwater Montessori,Winnipeg,(204) 809-1115,MB-103006,,Unit 10  70- Park East Drive,0,1,1,1,0,,,,,,,,
mb-100814,bright-beginnings-for-kids-inc-100814,Bright Beginnings for Kids INC.,Winnipeg,(204) 415-4125,MB-100814,,29  Des Meurons Street,0,1,1,1,0,,,,,,,,
mb-102899,bright-scholars-montessori-102899,Bright Scholars Montessori,Winnipeg,(431) 807-9000,MB-102899,,325 North Town Road,0,1,1,1,0,,,,,,,,
mb-103244,brightling-children-s-academy-inc-103244,Brightling Children's Academy Inc.,Winnipeg,(204) 899-5030,MB-103244,,1461 Chevrier boulevard,0,1,1,1,0,,,,,,,,
mb-102052,building-blocks-on-balmoral-102052,Building Blocks on Balmoral,Winnipeg,(204) 560-0081,MB-102052,,51  Balmoral Street,0,1,1,1,0,,,,,,,,
mb-3010,cairns-children-s-centre-inc-3010,Cairns Children's Centre Inc.,Winnipeg,(204) 261-4446,MB-3010,,1100 Chancellor Drive,0,1,1,1,0,,,,,,,,
mb-1004,campus-children-s-centre-inc-1004,Campus Children's Centre Inc.,Winnipeg,(204) 474-9546,MB-1004,,15 - 19 Dysart Road,0,1,1,1,0,,,,,,,,
mb-1006,carpathia-children-s-centre-inc-1006,Carpathia Children's Centre Inc.,Winnipeg,(204) 489-6014,MB-1006,,1777 Grant Avenue,0,1,1,1,0,,,,,,,,
mb-9360,carpathia-jb-mitchell-site-9360,Carpathia; JB Mitchell Site,Winnipeg,(204) 489-6014,MB-9360,,1720 John Brebeuf Road,0,1,1,1,0,,,,,,,,
mb-1007,carter-early-learning-centre-inc-1007,Carter Early Learning Centre Inc.,Winnipeg,(204) 452-3220,MB-1007,,465B Stafford Street,0,1,1,1,0,,,,,,,,
mb-1276,casa-montessori-amp-orff-school-fennel-1276,Casa Montessori &amp; Orff School Fennel,Winnipeg,(204) 475-8063,MB-1276,,80 Fennel Street,0,1,1,1,0,,,,,,,,
mb-7923,casa-montessori-amp-orff-school-inc-7923,Casa Montessori &amp; Orff School Inc.,Winnipeg,(204) 487-6167,MB-7923,,1055 Wilkes Avenue,0,1,1,1,0,,,,,,,,
mb-101711,centre-d-apprentissage-et-de-garde-d-enfants-de--101711,Centre D'apprentissage et de garde d'enfants de Saint-Boniface,Winnipeg,(204) 233-7677,MB-101711,,205 Rue Despins,0,1,1,1,0,,,,,,,,
mb-1013,day-nursery-centre-inc-gretta-brown-1013,Day Nursery Centre Inc. - Gretta Brown,Winnipeg,(204) 586-3763,MB-1013,,336 flora Avenue,0,1,1,1,0,,,,,,,,
mb-1012,day-nursery-centre-inc-kennedy-site-1012,Day Nursery Centre Inc. - Kennedy Site,Winnipeg,(204) 942-6022,MB-1012,,355 Kennedy St.,0,1,1,1,0,,,,,,,,
mb-1043,discovery-children-s-centre-inc-1043,Discovery Children's Centre Inc.,Winnipeg,(204) 889-2689,MB-1043,,Rm1-12-367 Hampton Street,0,1,1,1,0,,,,,,,,
